epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2437.91,1.26673,1.56791,1.49157,0.52819,0.52415,0.56744,0.31578,1.63335,1.76283,1.73422,0.00058175,0.00058175,0.00058175
83,2467.01,1.30056,1.64419,1.5235,0.51397,0.54907,0.56406,0.31434,1.651,1.70739,1.77751,0.0005735,0.0005735,0.0005735
84,2496.04,1.31592,1.64524,1.5233,0.58636,0.49251,0.56539,0.3573,1.58229,1.66597,1.72097,0.00056525,0.00056525,0.00056525
85,2524.92,1.26768,1.65754,1.52131,0.5931,0.46721,0.54436,0.34433,1.58341,1.73647,1.70486,0.000557,0.000557,0.000557
86,2553.96,1.28173,1.58134,1.50114,0.64225,0.43385,0.56481,0.3342,1.64777,1.76631,1.74949,0.00054875,0.00054875,0.00054875
87,2582.82,1.29751,1.60585,1.48391,0.59985,0.47866,0.55855,0.31502,1.63914,1.73407,1.75921,0.0005405,0.0005405,0.0005405
88,2611.72,1.2863,1.56727,1.50561,0.62523,0.49259,0.56782,0.33993,1.65401,1.67382,1.78998,0.00053225,0.00053225,0.00053225
89,2640.58,1.20963,1.5267,1.45577,0.54662,0.45445,0.51457,0.3027,1.63633,1.79328,1.7702,0.000524,0.000524,0.000524
90,2670.13,1.26722,1.58075,1.49451,0.48561,0.5992,0.53377,0.33661,1.57882,1.71938,1.73066,0.00051575,0.00051575,0.00051575
91,2699.54,1.26882,1.58274,1.48884,0.53004,0.54981,0.55112,0.36104,1.6133,1.68889,1.74867,0.0005075,0.0005075,0.0005075
92,2728.6,1.26007,1.56154,1.49314,0.49262,0.55107,0.52976,0.31674,1.55672,1.6693,1.71617,0.00049925,0.00049925,0.00049925
93,2757.64,1.25885,1.55337,1.47346,0.59981,0.50314,0.52414,0.31904,1.59631,1.65264,1.73769,0.000491,0.000491,0.000491
94,2786.51,1.22557,1.54123,1.4704,0.52886,0.49892,0.51563,0.31595,1.56695,1.76831,1.69067,0.00048275,0.00048275,0.00048275
95,2815.34,1.2509,1.52434,1.4894,0.52201,0.55585,0.5601,0.34499,1.58134,1.72987,1.69917,0.0004745,0.0004745,0.0004745
96,2844.47,1.23036,1.50726,1.47902,0.5426,0.52327,0.55545,0.35017,1.58153,1.65915,1.72067,0.00046625,0.00046625,0.00046625
97,2873.31,1.24962,1.5127,1.47519,0.46392,0.6041,0.53096,0.31715,1.61607,1.70798,1.7418,0.000458,0.000458,0.000458
98,2902.23,1.21948,1.49108,1.45887,0.57121,0.50656,0.54255,0.33368,1.58123,1.71291,1.70611,0.00044975,0.00044975,0.00044975
99,2931.14,1.23473,1.50839,1.47868,0.5835,0.47087,0.51879,0.33087,1.56018,1.74097,1.70444,0.0004415,0.0004415,0.0004415
100,2960.05,1.2579,1.55561,1.49229,0.54552,0.51847,0.54719,0.32584,1.61476,1.73007,1.73895,0.00043325,0.00043325,0.00043325
101,2988.91,1.25048,1.55447,1.49674,0.52165,0.58877,0.55748,0.32251,1.60423,1.7396,1.73375,0.000425,0.000425,0.000425
102,3017.98,1.19691,1.49694,1.45417,0.53554,0.53918,0.5911,0.34036,1.61559,1.65122,1.74947,0.00041675,0.00041675,0.00041675
103,3046.94,1.195,1.4287,1.43431,0.54839,0.53509,0.58981,0.35852,1.59469,1.65729,1.74506,0.0004085,0.0004085,0.0004085
104,3076.05,1.20294,1.47612,1.44401,0.52934,0.56074,0.56356,0.33215,1.57152,1.65896,1.70081,0.00040025,0.00040025,0.00040025
105,3105.27,1.18665,1.46825,1.44302,0.53381,0.54482,0.57818,0.36515,1.57148,1.66902,1.70266,0.000392,0.000392,0.000392
